TARGET,HGNC ID,Approved Symbol,Approved Name,Status,Previous Symbols,Synonyms,Chromosome,Accession Numbers,RefSeq IDs,Gene Family Tag,Gene family description,Gene family ID
GABAAR,4075,GABRA1,gamma-aminobutyric acid type A receptor alpha1 subunit,Approved,,EJM5,5q34,,NM_000806.5,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4076,GABRA2,gamma-aminobutyric acid type A receptor alpha2 subunit,Approved,,,4p12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4077,GABRA3,gamma-aminobutyric acid type A receptor alpha3 subunit,Approved,,,Xq28,,NM_000808,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4078,GABRA4,gamma-aminobutyric acid type A receptor alpha4 subunit,Approved,,,4p12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4079,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,Approved,,,15q12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4080,GABRA6,gamma-aminobutyric acid type A receptor alpha6 subunit,Approved,,,5q34,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4081,GABRB1,gamma-aminobutyric acid type A receptor beta1 subunit,Approved,,,4p12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4082,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit,Approved,,,5q34,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4083,GABRB3,gamma-aminobutyric acid type A receptor beta3 subunit,Approved,,,15q12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4084,GABRD,gamma-aminobutyric acid type A receptor delta subunit,Approved,,,1p36.33,BC033801,NM_000815,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4085,GABRE,gamma-aminobutyric acid type A receptor epsilon subunit,Approved,,,Xq28,Y09765,"NM_004961, NM_021990, NM_021984",GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4086,GABRG1,gamma-aminobutyric acid type A receptor gamma1 subunit,Approved,,,4p12,BC031087,NM_173536,GABR,Gamma-aminobutyric acid type A receptor subunits,563
